"tk2" "tk3" "tk4" "value" "fk2" "fk3" "fk4"
"992" 2 3 4 "992" 2 3 4
"993" 2 3 4 "993" 2 3 4
"994" 2 3 4 "994" 2 3 4
"995" 2 3 4 "995" 2 3 4
"996" 2 3 4 "996" 2 3 4
"997" 2 3 4 "997" 2 3 4
"998" 2 3 4 "998" 2 3 4
"999" 2 3 4 "999" 2 3 4
"1000" 1 2 3 "1000" 2 3 4
"1001" 1 2 3 "1001" 2 3 4
"1002" 1 1 2 "1002" 1 2 3
"1003" 2 3 4 "1003" 2 3 4
"1004" 2 3 4 "1004" 2 3 4
"1005" 1 2 3 "1005" 2 3 4
"1006" 1 2 3 "1006" 2 3 4
"1007" 2 3 4 "1007" 2 3 4
"1008" 2 3 4 "1008" 2 3 4
"1009" 2 3 4 "1009" 2 3 4
"1010" 2 3 4 "1010" 2 3 4
"1012" 1 2 3 "1012" 1 2 3
"1018" 1 2 3 "1018" 1 2 3
"1019" 1 2 3 "1019" 1 2 3
"1020" 1 2 3 "1020" 1 2 3
"1021" 1 2 3 "1021" 1 2 3
"1022" 1 2 3 "1022" 1 2 3
"1025" 2 3 4 "1025" 2 3 4
"1026" 2 3 4 "1026" 2 3 4
"1027" 2 3 4 "1027" 2 3 4
"1028" 2 3 4 "1028" 2 3 4
"1029" 2 3 4 "1029" 2 3 4
"1030" 2 3 4 "1030" 2 3 4
"1031" 2 3 4 "1031" 2 3 4
"1032" 1 1 2 "1032" 1 2 3
"1033" 1 1 2 "1033" 1 2 3
"1034" 1 2 3 "1034" 2 3 4
"1035" 2 3 4 "1035" 2 3 4
"1036" 2 3 4 "1036" 2 3 4
"1037" 2 3 4 "1037" 2 3 4
"1038" 2 3 4 "1038" 2 3 4
"1039" 2 3 4 "1039" 2 3 4
"1040" 2 3 4 "1040" 2 3 4
"1041" 2 3 4 "1041" 2 3 4
"1042" 2 3 4 "1042" 2 3 4
"1043" 2 3 4 "1043" 2 3 4
"1044" 2 3 4 "1044" 2 3 4
"1046" 1 2 3 "1046" 2 3 4
"1051" 1 2 3 "1051" 1 2 3
"1052" 1 2 3 "1052" 1 2 3
"1053" 1 2 3 "1053" 1 2 3
"1054" 1 2 3 "1054" 1 2 3
"1055" 1 1 1 "1055" 1 2 3
"1058" 2 3 4 "1058" 2 3 4
